date,new_cases,recoveries,in_icu,death,text,source_url
2020-08-31,348,266,29,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاثنين 31  اوت 2020 و هي
 
🔴 348 حالة جديدة
🔴 266 حالة تماثلت للشفاء 
🔴 29 مريض متواجدون في العناية المركزة
🔴 09 وفيات. https://t.co/X1DUPqBWqE",https://twitter.com/Sante_Gouv_dz/status/1300467958544764929
2020-09-01,339,249,38,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الثلاثاء 01  سبتمبر 2020 و هي
 🔴 339 حالة جديدة
 🔴 249 حالة تماثلت للشفاء 
 🔴 38 مريض متواجدون في العناية المركزة
 🔴 08 وفيات. https://t.co/sk9zCW47FW",https://twitter.com/Sante_Gouv_dz/status/1300826041628401670
2020-09-02,325,253,35,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الأربعاء 02 سبتمبر 2020 و هي

🔴 325 حالة جديدة
🔴 253 حالة تماثلت للشفاء 
🔴 35 مريض متواجدون في العناية المركزة
🔴 07 وفيات. https://t.co/exClteS6jx",https://twitter.com/Sante_Gouv_dz/status/1301188142226079744
2020-09-03,311,260,44,6,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الخميس 03 سبتمبر 2020 و هي

🔴 311 حالة جديدة
🔴 260 حالة تماثلت للشفاء 
🔴 44 مريض متواجدون في العناية المركزة
🔴 06 وفيات. https://t.co/hnVvvhB6kt",https://twitter.com/Sante_Gouv_dz/status/1301562970766483457
2020-09-04,304,253,42,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الجمعة 04 سبتمبر 2020 و هي

🔴 304 حالة جديدة
🔴 253 حالة تماثلت للشفاء 
🔴 42 مريض متواجدون في العناية المركزة
🔴 08 وفيات. https://t.co/9ECCoFO6iQ",https://twitter.com/Sante_Gouv_dz/status/1301920604078116866
2020-09-05,298,222,42,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  السبت 05 سبتمبر 2020 و هي

🔴 298  حالة جديدة
🔴 222 حالة تماثلت للشفاء 
🔴 42  مريض متواجدون في العناية المركزة
🔴 10  وفيات. https://t.co/gYK9sMVUrR",https://twitter.com/Sante_Gouv_dz/status/1302285209681965058
2020-09-06,293,264,44,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاحد 06 سبتمبر 2020 و هي

🔴 293 حالة جديدة
🔴 264 حالة تماثلت للشفاء 
🔴 44 مريض متواجدون في العناية المركزة
🔴 07 وفيات. https://t.co/8sCv9ECubY",https://twitter.com/Sante_Gouv_dz/status/1302637742556426240
2020-09-07,289,240,43,6,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاثنين 07 سبتمبر 2020 و هي
🔴 289 حالة جديدة 
🔴 240 حالة تماثلت للشفاء 
🔴 43 مريض متواجدون في العناية المركزة
🔴 06 وفيات.",https://twitter.com/Sante_Gouv_dz/status/1303001953908256769
2020-09-08,285,198,35,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الثلاثاء 08 سبتمبر 2020 و هي
🔴  285 حالة جديدة 
🔴  198 حالة تماثلت للشفاء 
🔴  35 مريض متواجدون في العناية المركزة
🔴  09 وفيات. https://t.co/qiW4YIh14F",https://twitter.com/Sante_Gouv_dz/status/1303372291749933063
2020-09-09,278,196,40,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاربعاء 09 سبتمبر 2020 و هي
🔴 278 حالة جديدة 
🔴 196 حالة تماثلت للشفاء 
🔴 40 مريض متواجدون في العناية المركزة
🔴 10 وفيات. https://t.co/S8et8PJ4l5",https://twitter.com/Sante_Gouv_dz/status/1303726985772924930
2020-09-10,272,183,39,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الخميس 10 سبتمبر 2020 و هي
🔴 272 حالة جديدة 
🔴 183حالة تماثلت للشفاء 
🔴 39 مريض متواجدون في العناية المركزة
🔴 10 وفيات. https://t.co/vucsIOHUvc",https://twitter.com/Sante_Gouv_dz/status/1304085978173370368
2020-09-11,264,161,32,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الجمعة 11 سبتمبر 2020 و هي
🔴 264 حالة جديدة 
🔴 161 حالة تماثلت للشفاء 
🔴 32 مريض متواجدون في العناية المركزة
🔴 08 وفيات. https://t.co/4FnedFVqFK",https://twitter.com/Sante_Gouv_dz/status/1304450505746374659
